Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Kenya,Export,080440,"Avocados, fresh or dried",2023, World,         140939.93,1.22581e+008,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Netherlands,          42104.41,3.74508e+007,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,United Arab Emirates,          19235.41,1.59314e+007,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,France,          14672.57,1.21172e+007,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Spain,          13442.72,1.13725e+007,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Turkey,          10687.00,1.12763e+007,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Germany,           8600.42,8.29173e+006,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,China,           8024.08,4.96668e+006,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Saudi Arabia,           7646.62,6.68141e+006,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,United Kingdom,           2938.82,2.8795e+006,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,"Egypt, Arab Rep.",           2762.25,3.10189e+006,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Jordan,           1426.16,1.3636e+006,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Romania,           1374.62,1.02552e+006,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Kuwait,            728.67,291476,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Greece,            712.41,515452,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Malaysia,            627.49,368583,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Italy,            581.84,459966,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Russian Federation,            517.05,490156,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Qatar,            508.22,269866,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Libya,            427.06,456199,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Singapore,            406.80,293942,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Iraq,            336.40,302904,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Poland,            333.91,316340,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Oman,            328.59,281998,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Bahrain,            303.59,122432,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Canada,            290.87,181770,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,India,            283.41,188091,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Switzerland,            276.58,256953,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Morocco,            219.92,231240,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Ukraine,            196.04,205280,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,"Hong Kong, China",            182.45,107076,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Lithuania,            151.50,94088,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Tunisia,             91.95,64830,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Belgium,             69.31,96576,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Unspecified,             54.11,49677.5,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Tanzania,             53.52,150000,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,South Africa,             53.12,48319,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Brunei,             40.81,20600,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Denmark,             36.03,23040,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Portugal,             36.01,21408,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Georgia,             33.56,48000,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Lebanon,             33.35,24000,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,"Serbia, FR(Serbia/Montenegro)",             31.70,23040,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Eswatini,             17.01,7632,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Afghanistan,             13.69,6160,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,United States,             13.06,11239,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Uganda,              9.59,80000,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Kazakhstan,              6.24,2514,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Nepal,              5.93,4050,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Norway,              5.16,1236.08,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Somalia,              3.64,2409.5,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,"Congo, Rep.",              1.29,380,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Zimbabwe,              0.88,50,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Ghana,              0.51,2000,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Seychelles,              0.46,126,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Maldives,              0.32,473,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Sweden,              0.28,224,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Argentina,              0.24,460,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Bunkers,              0.20,124,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Rwanda,              0.04,43,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Macao,              0.02,9,Kg
Kenya,Export,080440,"Avocados, fresh or dried",2023,Ireland,              0.00,9,Kg